# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2018-19,General Government,Augmentation for Employee Compensation,9800,0.734,0.405,0,0,,,,
2018-19,General Government,Department of Food and Agriculture,8570,0.142,0.345,0.032,0.109,,,,
2018-19,General Government,Department of Veterans Affairs,8955,0.414,0.003,0,0.003,,,,
2018-19,General Government,Tax Relief,9100,0.42,-0.003,0,0,,,,
2018-19,General Government,Commission on State Mandates,8885,0.318,0.002,0,0,,,,
2018-19,General Government,Military Department,8940,0.104,0.002,0,0.125,,,,
2018-19,General Government,Cash Management and Budgetary Loans,9620,0.054,0,0,0,,,,
2018-19,General Government,Financial Information System for CA,8880,0.052,0.001,0,0,,,,
2018-19,General Government,Debt Service GO Bonds Commercial Paper,9600,0.048,0,0,0,,,,
2018-19,General Government,Department of Finance,8860,0.039,0,0,0,,,,
2018-19,General Government,Local Government Financing,9210,0.038,0,0,0,,,,
2018-19,General Government,Contingencies-Emergencies Augmentation,9840,0.02,0.015,0,0,,,,
2018-19,General Government,Arts Council,8260,0.025,0.002,0,0.001,,,,
2018-19,General Government,"Peace Officer Standards, Training Comm",8120,0.025,0,0,0,,,,
2018-19,General Government,California State Auditor's Office,8855,0.022,0,0,0,,,,
2018-19,General Government,Interest Payments to the Federal Govt,9625,0.015,0.001,0,0,,,,
2018-19,General Government,State Public Defender,8140,0.014,0,0,0,,,,
2018-19,General Government,Fair Political Practices Commission,8620,0.012,0,0,0,,,,
2018-19,General Government,Trial Court Security-Court Construction,9285,0.007,0,0,0,,,,
2018-19,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2018-19,General Government,"Capital Outlay Planning, Studies",9860,0.002,0,0,0,,,,
2018-19,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2018-19,General Government,Trial Court Security - Judgeships,9286,0.001,0,0,0,,,,
2018-19,General Government,Comm on the Status of Women and Girls,8820,0.001,0,0,0,,,,
2018-19,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2018-19,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2018-19,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2018-19,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2018-19,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2018-19,General Government,CA Commission on Disability Access,8790,0,0,0,0,,,,
2018-19,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2018-19,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2018-19,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2018-19,General Government,Victim Compensation Government Claims Bd,9670,0,0,0,0,,,,
2018-19,General Government,Federal Levy of State Funds,9818,0,0,0,0,,,,
2018-19,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2018-19,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.777,0.677,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",,,3.844,3.482,0.146,1.125,3.968,3.473,0.153,1.516
2018-19,"Legislative, Judicial, and Executive",Judicial Branch,0250,1.909,1.872,0,0.007,1.86,1.825,0,0.003
2018-19,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.325,0.168,0.003,1.013,0.557,0.138,0,1.407
2018-19,"Legislative, Judicial, and Executive",Department of Justice,0820,0.282,0.357,0,0.044,0.291,0.344,0,0.036
2018-19,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.044,0.549,0,0.028,0.043,0.766,0,0.035
2018-19,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0.066,0.144,0.141,0,0,0.004,0.151,0
2018-19,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.01,0.276,0,0.001,0.005,0.284,0,0
2018-19,"Legislative, Judicial, and Executive",Secretary of State,0890,0.184,0.074,0,0.012,0.18,0.075,0,0.013
2018-19,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.269,0,0,0,0.278,0,0,0
2018-19,"Legislative, Judicial, and Executive",Assembly,0120,0.184,0,0,0,0.184,0,0,0
2018-19,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.137,0,0.001,0.02,0.137,0,0.001,0.02
2018-19,"Legislative, Judicial, and Executive",Senate,0110,0.14,0,0,0,0.14,0,0,0
2018-19,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.086,0,0,0,0.09,0,0,0
2018-19,"Legislative, Judicial, and Executive",State Controller,0840,0.071,0.011,0.001,0.001,0.074,0.011,0,0.001
2018-19,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.036,0.01,0,0,0.035,0.001,0,0
2018-19,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.029,0,0,0,0.025,0,0,0
2018-19,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.024,0,0,0,0.022,0,0,0
2018-19,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.02,0,0,0,0.016,0,0,0
2018-19,"Legislative, Judicial, and Executive",Governors Office,0500,0.017,0,0,0,0.017,0,0,0
2018-19,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.008,0,0,0,0.007,0,0
2018-19,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.007,0,0,0,0.006,0,0
2018-19,"Legislative, Judicial, and Executive",State Treasurer,0950,0.006,0,0,0,0.005,0,0,0
2018-19,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.005,0,0,0,0.005,0,0,0
2018-19,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.003,0,0
2018-19,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.002,0,0,0,0.001,0,0
2018-19,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.001,0,0,0,0.001,0,0,0
2018-19,"Legislative, Judicial, and Executive",Governor Elect and Outgoing Governor,0730,0.001,0,0,0,0.001,0,0,0
2018-19,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,0,0,0,0
2018-19,"Legislative, Judicial, and Executive",Citizens Redistricting Initiative,0911,0,0,0,0,0,0,0,0
2018-19,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2018-19,"Legislative, Judicial, and Executive",Industrial Dvlmt Financing Advisory Comm,0965,0,0,0,0,0,0,0,0
2018-19,"Legislative, Judicial, and Executive",Governors Portrait,0720,0,0,0,0,0,0,0,0
2018-19,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0.007,0,0
2018-19,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2018-19,"Legislative, Judicial, and Executive",Secure Choice Retirement Svngs Invst Brd,0984,0,0,0,0,,,,
2018-19,Labor and Workforce Development,,,0.143,0.739,0,6.679,0.128,0.792,0,6.509
2018-19,Labor and Workforce Development,Employment Development Department,7100,0.086,0.17,0,6.638,0.105,0.151,0,6.469
2018-19,Labor and Workforce Development,Department of Industrial Relations,7350,0,0.562,0,0.037,0,0.639,0,0.035
2018-19,Labor and Workforce Development,California Workforce Development Board,7120,0.035,0.005,0,0.005,0.001,0.001,0,0.004
2018-19,Labor and Workforce Development,Public Employment Relations Board,7320,0.013,0,0,0,0.013,0,0,0
2018-19,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.009,0.001,0,0,0.009,0.001,0,0
2018-19,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0,0,0,0,0,0,0,0
2018-19,Natural Resources,,,3.607,1.773,1.521,0.293,3.532,1.572,1.64,0.277
2018-19,Natural Resources,"Department of Forestry, Fire Protection",3540,1.49,0.319,0.015,0.021,1.614,0.348,0.014,0.021
2018-19,Natural Resources,"Department of Parks, Recreation",3790,0.285,0.369,0.543,0.106,0.297,0.268,0.5,0.106
2018-19,Natural Resources,Department of Water Resources,3860,0.322,0.033,0.348,0.012,0.173,0.032,0.535,0.005
2018-19,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0,0.52,0,0.013,0,0.363,0,0.007
2018-19,Natural Resources,Department of Fish and Wildlife,3600,0.121,0.214,0.106,0.082,0.125,0.217,0.107,0.083
2018-19,Natural Resources,"Natural Resources Agency, Secy",0540,0.065,0.071,0.157,0,0.042,0.106,0.205,0
2018-19,Natural Resources,Wildlife Conservation Board,3640,0.033,0.004,0.124,0.035,0.019,-0.01,0.124,0.035
2018-19,Natural Resources,California Conservation Corps,3340,0.09,0.054,0.01,0,0.068,0.057,0.005,0
2018-19,Natural Resources,Department of Conservation,3480,0.004,0.118,0.006,0.003,0.004,0.122,0.006,0.006
2018-19,Natural Resources,State Coastal Conservancy,3760,0.021,0.01,0.085,0.009,0.021,0.01,0.076,0.009
2018-19,Natural Resources,State Lands Commission,3560,0.078,0.021,0,0,0.082,0.022,0,0
2018-19,Natural Resources,Sierra Nevada Conservancy,3855,0,0.006,0.042,0,0,0.005,0.007,0
2018-19,Natural Resources,Santa Monica Mountains Conservancy,3810,0,0.001,0.038,0,0.001,0,0.024,0
2018-19,Natural Resources,Science Center,3100,0.022,0.011,0,0,0.031,0.012,0,0
2018-19,Natural Resources,Coastal Commission,3720,0.018,0.004,0,0.003,0.019,0.004,0,0.003
2018-19,Natural Resources,Delta Stewardship Council,3885,0.019,0.003,0,0.003,0.019,0.003,0,0
2018-19,Natural Resources,Tahoe Conservancy,3125,0,0.007,0.01,0.005,0,0.006,0.004,0
2018-19,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.015,0.001,0.001,0,0.011,0
2018-19,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0,0,0.01,0,0.019,0,0.016,0
2018-19,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.009,0.001,0,0,0.006,0.001,0,0
2018-19,Natural Resources,Special Resources Programs,3110,0,0.005,0,0,0,0.005,0,0
2018-19,Natural Resources,San Diego River Conservancy,3845,0,0,0.004,0,0,0,0.002,0
2018-19,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.004,0,0,0,0.002,0
2018-19,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0.003,0,0,0,0.002,0
2018-19,Natural Resources,Native American Heritage Commission,3780,0.003,0,0,0,0.003,0,0,0
2018-19,Natural Resources,Delta Protection Commission,3840,0,0.002,0,0,0,0.002,0,0
2018-19,Natural Resources,San Joaquin River Conservancy,3830,0,0,0,0,0,0,0,0
2018-19,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2018-19,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2018-19,Environmental Protection,,,0.133,3.842,0.202,0.37,2.176,3.857,1.179,0.355
2018-19,Environmental Protection,Resources Recycling and Recovery,3970,0,1.568,0,0,2.017,1.566,0,0
2018-19,Environmental Protection,Air Resources Board,3900,0,1.355,0.013,0.017,0,1.308,0.002,0.008
2018-19,Environmental Protection,State Water Resources Control Board,3940,0.076,0.561,0.189,0.315,0.099,0.651,1.178,0.314
2018-19,Environmental Protection,Department of Toxic Substances Control,3960,0.045,0.223,0,0.035,0.048,0.201,0,0.03
2018-19,Environmental Protection,Department of Pesticide Regulation,3930,0,0.103,0,0.002,0,0.1,0,0.002
2018-19,Environmental Protection,Environmental Health Hazard Assessment,3980,0.006,0.017,0,0,0.006,0.017,0,0
2018-19,Environmental Protection,"Environmental Protection, Secy",0555,0.003,0.015,0,0,0.003,0.015,0,0
2018-19,"Business, Consumer Services, and Housing",,,0.944,0.945,0.635,0.137,0.936,1.124,0.778,0.137
2018-19,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,0.012,0.036,0.635,0.132,0.012,0.305,0.778,0.132
2018-19,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0.01,0.67,0,0,0,0.583,0,0
2018-19,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,0.501,0.001,0,0,0.5,0.001,0,0
2018-19,"Business, Consumer Services, and Housing",Department of Business Oversight,1701,0,0.097,0,0,0,0.098,0,0
2018-19,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0,0.071,0,0,0,0.073,0,0
2018-19,"Business, Consumer Services, and Housing",Department of Real Estate,2320,0,0.051,0,0,0,0.046,0,0
2018-19,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.028,0,0,0.006,0.027,0,0,0.005
2018-19,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.014,0,0,0,0.013,0,0
2018-19,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.003,0,0,0,0.002,0,0
2018-19,"Business, Consumer Services, and Housing","Seismic Safety Commission, A. E. Alquist",1690,0,0.001,0,0,0,0.001,0,0
2018-19,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,0,0.001,0,0
2018-19,Government Operations,,,1.915,-0.308,0.007,0.025,5.345,-0.303,0.007,0.018
2018-19,Government Operations,Franchise Tax Board,7730,0.771,0.022,0,0,0.803,0.022,0,0
2018-19,Government Operations,Department of Tax and Fee Administration,7600,0.354,0.095,0,0,0.321,0.075,0,0
2018-19,Government Operations,Department of General Services,7760,0.679,-0.52,0.007,0,0.734,-0.502,0.007,0
2018-19,Government Operations,California Victim Compensation Board,7870,0,0.094,0,0.025,0,0.102,0,0.018
2018-19,Government Operations,"Government Operations, Secretary",0511,0.092,0.001,0,0,0.065,0,0,0
2018-19,Government Operations,Department of Human Resources,7501,0.01,0,0,0,0.009,0,0,0
2018-19,Government Operations,Department of Technology,7502,0.005,0,0,0,0.005,0,0,0
2018-19,Government Operations,Office of Administrative Law,7910,0.002,0,0,0,0.002,0,0,0
2018-19,Government Operations,State Personnel Board,7503,0.002,0,0,0,0.002,0,0,0
2018-19,Government Operations,Public Employees' Retirement System,7900,0,0,0,0,3.404,0,0,0
2018-19,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2019-20,Health and Human Services,,,41.949,25.19,0,77.681,40.712,21.182,0,75.598
2019-20,Health and Human Services,State Department of Health Care Services,4260,23.686,11.87,0,67.084,,,,
2019-20,Health and Human Services,Department of Social Services,5180,9.938,0.042,0,7.614,,,,
2019-20,Health and Human Services,"State-Local Realignment, 1991",5195,0,6.142,0,0,,,,
2019-20,Health and Human Services,"State-Local Realignment, 2011",5196,0.005,5.245,0,0,,,,
2019-20,Health and Human Services,Department of Developmental Services,4300,5.04,0.004,0,0.056,,,,
2019-20,Health and Human Services,Department of Public Health,4265,0.308,1.146,0,1.493,,,,
2019-20,Health and Human Services,Department of State Hospitals,4440,1.824,0,0,0,,,,
2019-20,Health and Human Services,Department of Child Support Services,5175,0.339,0,0,0.576,,,,
2019-20,Health and Human Services,Department of Rehabilitation,5160,0.073,0,0,0.39,,,,
2019-20,Health and Human Services,California Health Benefit Exchange,4800,0.429,0,0,0,,,,
2019-20,Health and Human Services,Children and Families Commission,4250,0,0.376,0,0,,,,
2019-20,Health and Human Services,Community Services and Development,4700,0,0.01,0,0.287,,,,
2019-20,Health and Human Services,Department of Aging,4170,0.084,0.005,0,0.168,,,,
2019-20,Health and Human Services,"Statewide Health Planning, Development",4140,0.12,0.13,0,0.001,,,,
2019-20,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.122,0,0,,,,
2019-20,Health and Human Services,Department of Managed Health Care,4150,0,0.091,0,0,,,,
2019-20,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.02,0.002,0,0,0.013,0.002,0,0
2019-20,Health and Human Services,Emergency Medical Services Authority,4120,0.011,0.005,0,0.004,,,,
2019-20,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.008,,,,
2019-20,Health and Human Services,Commission on Aging,4180,0,0,0,0,,,,
2019-20,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2019-20,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2019-20,K thru 12 Education,,,58.334,0.197,1.606,8.326,57.127,0.161,1.495,7.925
2019-20,K thru 12 Education,Department of Education,6100,51.571,0.106,0.003,8.307,50.458,0.074,0.002,7.906
2019-20,K thru 12 Education,Teachers Retirement System Contributions,6300,4.44,0,0,0,4.44,0,0,0
2019-20,K thru 12 Education,School Facilities Aid Program,6350,0.3,0.061,1.603,0,0,0.06,1.493,0
2019-20,K thru 12 Education,State Library,6120,0.054,0.001,0,0.019,0.053,0.001,0,0.019
2019-20,K thru 12 Education,Commission on Teacher Credentialing,6360,0,0.029,0,0,0,0.026,0,0
2019-20,K thru 12 Education,Scholarshare Investment Board,0954,0.025,0,0,0,0.025,0,0,0
2019-20,K thru 12 Education,Summer School for the Arts,6255,0.001,0,0,0,0.001,0,0,0
2019-20,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2019-20,Higher Education,,,17.502,0.17,0.808,5.477,16.726,0.087,0.308,5.811
2019-20,Higher Education,University of California,6440,3.938,0.148,0,3.978,3.938,0.068,0,4.3
2019-20,Higher Education,Board of Governors of Community Colleges,6870,6.217,0.011,0.541,0,6.1,0.01,0.155,0
2019-20,Higher Education,California State University,6610,4.302,0.005,0,1.5,4.355,0.005,0,1.511
2019-20,Higher Education,Student Aid Commission,6980,1.757,0.006,0,0,1.386,0.004,0,0
2019-20,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.331,0,0,0,0.326,0,0,0
2019-20,Higher Education,Institute for Regenerative Medicine,6445,0,0,0.267,0,0,0,0.153,0
2019-20,Higher Education,Hastings College of the Law,6600,0.016,0,0,0,0.016,0,0,0
2019-20,Transportation,,,0.315,15.066,0.348,5.685,0.292,13.955,0.435,4.446
2019-20,Transportation,Department of Transportation,2660,0.011,7.777,0.171,5.529,0.007,6.635,0.141,4.34
2019-20,Transportation,Dept of the California Highway Patrol,2720,0.078,2.425,0,0.021,0.082,2.537,0,0.025
2019-20,Transportation,Department of Motor Vehicles,2740,0.004,1.346,0,0.003,0.006,1.376,0,0
2019-20,Transportation,State Transit Assistance,2640,0,0.992,0,0,0,0.925,0,0
2019-20,Transportation,High-Speed Rail Authority,2665,0,0.56,0.176,0,0,0.607,0.289,0
2019-20,Transportation,"Transportation, Secy",0521,0.011,0.286,0,0.131,0.007,0.244,0,0.081
2019-20,Transportation,California Transportation Commission,2600,0,0.007,0.002,0,0,0.006,0.005,0
2019-20,Transportation,Board of Pilot Commissioners,2670,0,0.003,0,0,0,0.003,0,0
2019-20,Corrections and Rehabilitation,,,12.783,3.006,0,0.049,13.278,2.792,0,0.088
2019-20,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,12.57,0.001,0,0.002,13.056,0.001,0,0.001
2019-20,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.168,0.077,0,0.047,0.186,0.041,0,0.028
2019-20,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2019-20,General Government,,,4.884,6.01,0.015,0.283,2.702,5.458,0.035,0.369
2019-20,General Government,Shared Revenues,9350,0.001,2.861,0,0.023,,,,
2019-20,General Government,"Health, Dental Benefits for Annuitants",9650,1.891,0,0,0,,,,
2019-20,General Government,Public Utilities Commission,8660,0,1.597,0,0.011,,,,
2019-20,General Government,Augmentation for Employee Compensation,9800,0.61,0.411,0,0,,,,
2019-20,General Government,Department of Food and Agriculture,8570,0.156,0.286,0.009,0.108,,,,
2019-20,General Government,Department of Veterans Affairs,8955,0.455,-0.017,0,0.01,,,,
2019-20,General Government,Tax Relief,9100,0.415,-0.003,0,0,,,,
2019-20,General Government,Military Department,8940,0.117,0.002,0,0.131,,,,
2019-20,General Government,Cash Management and Budgetary Loans,9620,0.135,0,0,0,,,,
2019-20,General Government,Local Government Financing,9210,0.078,0,0,0,,,,
2019-20,General Government,Financial Information System for CA,8880,0.069,-0.002,0,0,,,,
2019-20,General Government,Arts Council,8260,0.054,0.002,0,0.001,,,,
2019-20,General Government,Commission on State Mandates,8885,0.055,0.002,0,0,,,,
2019-20,General Government,Debt Service GO Bonds Commercial Paper,9600,0.052,0,0,0,,,,
2019-20,General Government,Department of Finance,8860,0.041,0,0,0,,,,
2019-20,General Government,Contingencies-Emergencies Augmentation,9840,0.02,0.015,0,0,,,,
2019-20,General Government,"Peace Officer Standards, Training Comm",8120,0.035,0,0,0,,,,
2019-20,General Government,Interest Payments to the Federal Govt,9625,0.031,0.002,0,0,,,,
2019-20,General Government,California State Auditor's Office,8855,0.025,0,0,0,,,,
2019-20,General Government,State Public Defender,8140,0.014,0,0,0,,,,
2019-20,General Government,Fair Political Practices Commission,8620,0.013,0,0,0,,,,
2019-20,General Government,Trial Court Security-Court Construction,9285,0.007,0,0,0,,,,
2019-20,General Government,Trial Court Security - Judgeships,9286,0.004,0,0,0,,,,
2019-20,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2019-20,General Government,"Capital Outlay Planning, Studies",9860,0.002,0,0,0,,,,
2019-20,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2019-20,General Government,Comm on the Status of Women and Girls,8820,0.001,0,0,0,,,,
2019-20,General Government,Comm on Asian & Pacf Islndr Amer Affairs,8825,0.001,0,0,0,,,,
2019-20,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2019-20,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2019-20,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2019-20,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2019-20,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2019-20,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2019-20,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2019-20,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2019-20,General Government,Equity Claims & Settlements & Judgments,9670,0,0,0,0,,,,
2019-20,General Government,Federal Levy of State Funds,9818,0,0,0,0,,,,
2019-20,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2019-20,General Government,Public School System Stabilization Acct,9889,0.377,-0.377,0,0,,,,
2019-20,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.766,0.677,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",,,4.394,3.474,0.351,1.258,5.862,2.813,0.346,2.845
2019-20,"Legislative, Judicial, and Executive",Judicial Branch,0250,2.197,1.898,0,0.007,2.208,1.787,0,0.003
2019-20,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.459,0.121,0.003,1.126,1.509,0.112,0,2.726
2019-20,"Legislative, Judicial, and Executive",Department of Justice,0820,0.333,0.38,0,0.044,0.691,0.359,0,0.038
2019-20,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.068,0.516,0,0.028,0.042,0.069,0,0.046
2019-20,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0,0.144,0.345,0,0.066,0.058,0.345,0
2019-20,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.347,0,0,0,0.333,0,0,0
2019-20,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.01,0.288,0,0.001,0.011,0.285,0,0
2019-20,"Legislative, Judicial, and Executive",Secretary of State,0890,0.138,0.072,0,0.031,0.139,0.074,0,0.031
2019-20,"Legislative, Judicial, and Executive",Assembly,0120,0.192,0,0,0,0.192,0,0,0
2019-20,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.137,0,0.001,0.02,0.137,0,0.001,0
2019-20,"Legislative, Judicial, and Executive",Senate,0110,0.145,0,0,0,0.145,0,0,0
2019-20,"Legislative, Judicial, and Executive",State Controller,0840,0.085,0.011,0.001,0.001,0.088,0.012,0,0.001
2019-20,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.092,0,0,0,0.095,0,0,0
2019-20,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.055,0.021,0,0,0.102,0.03,0,0
2019-20,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.029,0,0,0,0.024,0,0,0
2019-20,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.025,0,0,0,0.023,0,0,0
2019-20,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.023,0,0,0,0.017,0,0,0
2019-20,"Legislative, Judicial, and Executive",Governors Office,0500,0.021,0,0,0,0.02,0,0,0
2019-20,"Legislative, Judicial, and Executive",Citizens Redistricting Initiative,0911,0.017,0,0,0,0,0,0,0
2019-20,"Legislative, Judicial, and Executive",State Treasurer,0950,0.012,0,0,0,0.012,0,0,0
2019-20,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.009,0,0,0,0.008,0,0
2019-20,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.007,0,0,0,0.007,0,0
2019-20,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.005,0,0,0,0.005,0,0,0
2019-20,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.003,0,0
2019-20,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.002,0,0,0,0.002,0,0,0
2019-20,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.002,0,0,0,0.001,0,0
2019-20,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,0,0,0,0
2019-20,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2019-20,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0.009,0,0
2019-20,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",Governors Portrait,0720,0,0,0,0,,,,
