# Citizen Ledger — public employee compensation — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — Government Compensation in California, reporting year 2024, as filed by each employer
# Accounting basis: Positions as reported by each employer to the State Controller for the calendar year, including part-year and part-time positions
# Gate tier: AS FILED — AS FILED — UNRECONCILED. A published control exists and can never be reconciled to: the source is a live database with no as-of-date total, so there is no instant at which the two can be aligned
# Units: dollars; positions are positions, NOT persons
# Measured as: POSITIONS AS REPORTED BY EACH EMPLOYER TO THE STATE CONTROLLER FOR THE CALENDAR YEAR, INCLUDING PART-YEAR AND PART-TIME POSITIONS · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-25
# Exported: 2026-07-29
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A person holding two positions appears in two rows. This is a count of positions reported, never a headcount of people.
# retirement_includes_unfunded_liability is an employer-level reporting flag. Two identically-paid positions at two employers show different totals for a pure reporting reason, and the unfunded component is not separately reported, so it cannot be netted out.
# Do NOT compute an average or median over these rows. There is no hours or FTE field, and a quarter of city rows show pay below half the position's own stated minimum. See docs/V23A_COMPENSATION_BUILD_FINDING.md.
# Vintage: {'earliest': '2025-06-24', 'latest': '2026-07-22', 'staleMonths': 14, 'ageDaysAtBuild': 3}
slug,name,layer,county,positions_reported,total_wages_usd,retirement_and_health_usd,population,elected_positions,retirement_includes_unfunded_liability
district-beyers-lane-community-services-district-nevada,Beyers Lane Community Services District,district,Nevada,5,0,0,,0,false
district-big-bear-airport-district-san-bernardino,Big Bear Airport District,district,San Bernardino,15,684901,291637,,5,false
district-big-bear-area-regional-wastewater-agency-san-bernardino,Big Bear Area Regional Wastewater Agency,district,San Bernardino,19,1759090,694648,,0,false
district-big-bear-city-community-services-district-san-bernardino,Big Bear City Community Services District,district,San Bernardino,47,3424502,1309470,,5,false
district-big-bear-fire-authority-san-bernardino,Big Bear Fire Authority,district,San Bernardino,87,9783215,4323933,,10,false
district-big-bear-lake-fire-protection-district-san-bernardino,Big Bear Lake Fire Protection District,district,San Bernardino,10,19190,0,,10,false
district-big-bear-municipal-water-district-san-bernardino,Big Bear Municipal Water District,district,San Bernardino,38,1779830,442925,,5,false
district-big-creek-community-services-district-fresno,Big Creek Community Services District,district,Fresno,7,10088,0,,0,false
district-big-independent-cities-excess-pool-joint-powers-agreement-orange,Big Independent Cities Excess Pool Joint Powers Agreement,district,Orange,5,0,0,,0,false
district-big-lagoon-community-services-district-humboldt,Big Lagoon Community Services District,district,Humboldt,3,0,0,,3,false
district-big-pine-cemetery-district-inyo,Big Pine Cemetery District,district,Inyo,11,38095,0,,0,false
district-big-pine-community-services-district-inyo,Big Pine Community Services District,district,Inyo,6,20326,0,,0,false
district-big-pine-fire-protection-district-inyo,Big Pine Fire Protection District,district,Inyo,49,607122,0,,0,false
district-big-river-community-services-district-san-bernardino,Big River Community Services District,district,San Bernardino,7,34638,0,,5,false
district-big-rock-community-services-district-del-norte,Big Rock Community Services District,district,Del Norte,8,60204,0,,5,false
district-big-springs-irrigation-district-siskiyou,Big Springs Irrigation District,district,Siskiyou,4,0,0,,4,false
district-big-valley-fire-protection-district-lassen,Big Valley Fire Protection District,district,Lassen,4,3000,0,,0,false
district-big-valley-pest-abatement-district-lassen,Big Valley Pest Abatement District,district,Lassen,6,0,0,,0,false
district-biggs-west-gridley-water-district-butte,Biggs-West Gridley Water District,district,Butte,13,530010,233831,,5,false
district-bighorn-desert-view-water-agency-san-bernardino,Bighorn-Desert View Water Agency,district,San Bernardino,19,975520,300075,,6,false
district-biola-community-services-district-fresno,Biola Community Services District,district,Fresno,11,129529,0,,6,false
district-birchim-community-services-district-mono,Birchim Community Services District,district,Mono,7,27038,0,,5,false
district-bishop-area-wastewater-authority-inyo,Bishop Area Wastewater Authority,district,Inyo,7,0,0,,0,false
district-bishop-fire-protection-district-inyo,Bishop Fire Protection District,district,Inyo,5,0,0,,5,false
district-bizz-johnson-highway-interchange-joint-powers-authority-placer,Bizz Johnson Highway Interchange Joint Powers Authority,district,Placer,5,0,0,,0,false
district-black-gold-cooperative-library-system-san-luis-obispo,Black Gold Cooperative Library System,district,San Luis Obispo,10,447747,65332,,0,false
district-blanchard-santa-paula-public-library-district-ventura,Blanchard/Santa Paula Public Library District,district,Ventura,23,506696,53976,,5,false
district-bloss-memorial-healthcare-district-merced,Bloss Memorial Healthcare District,district,Merced,6,81000,12786,,5,false
district-blue-lake-fire-protection-district-humboldt,Blue Lake Fire Protection District,district,Humboldt,12,78403,19722,,0,false
district-bluffs-community-services-district-fresno,Bluffs Community Services District,district,Fresno,5,0,0,,5,false
district-bodega-bay-public-utility-district-sonoma,Bodega Bay Public Utility District,district,Sonoma,18,795589,205112,,5,false
district-boggs-tract-fire-protection-district-san-joaquin,Boggs Tract Fire Protection District,district,San Joaquin,3,0,0,,0,false
district-bolinas-community-public-utility-district-marin,Bolinas Community Public Utility District,district,Marin,16,772575,279986,,5,false
district-bolinas-fire-protection-district-marin,Bolinas Fire Protection District,district,Marin,16,545119,102019,,5,false
district-bombay-beach-community-service-district-imperial,Bombay Beach Community Service District,district,Imperial,11,39585,0,,5,false
district-bonita-canyon-public-facilities-financing-authority-orange,Bonita Canyon Public Facilities Financing Authority,district,Orange,3,0,0,,0,false
district-bonita-sunnyside-fire-protection-district-san-diego,Bonita-Sunnyside Fire Protection District,district,San Diego,17,2137859,622324,,3,false
district-border-coast-regional-airport-authority-del-norte,Border Coast Regional Airport Authority,district,Del Norte,12,314496,84058,,0,false
district-boron-community-services-district-kern,Boron Community Services District,district,Kern,12,382675,80006,,5,false
district-borrego-water-district-san-diego,Borrego Water District,district,San Diego,18,1359781,400101,,5,false
district-boulder-creek-fire-protection-district-santa-cruz,Boulder Creek Fire Protection District,district,Santa Cruz,53,537386,24107,,5,false
district-boulder-creek-recreation-and-park-district-santa-cruz,Boulder Creek Recreation and Park District,district,Santa Cruz,41,370759,0,,5,false
district-bradbury-estates-community-services-district-los-angeles,Bradbury Estates Community Services District,district,Los Angeles,5,0,0,,5,false
district-brannan-andrus-levee-maintenance-sacramento-sacramento,Brannan-Andrus Levee Maintenance (Sacramento),district,Sacramento,9,156833,19943,,0,false
district-briceland-community-services-district-humboldt,Briceland Community Services District,district,Humboldt,5,0,0,,5,false
district-briceland-fire-protection-district-humboldt,Briceland Fire Protection District,district,Humboldt,5,0,0,,5,false
district-bridgeport-fire-protection-district-mono,Bridgeport Fire Protection District,district,Mono,8,36000,0,,0,false
district-bridgeport-public-utility-district-mono,Bridgeport Public Utility District,district,Mono,9,249904,6550,,0,false
district-bridgeville-fire-protection-district-humboldt,Bridgeville Fire Protection District,district,Humboldt,5,0,0,,5,false
district-broadmoor-police-protection-district-san-mateo,Broadmoor Police Protection District,district,San Mateo,20,1036600,96618,,0,false
district-broadview-water-district-fresno,Broadview Water District,district,Fresno,5,0,0,,5,false
district-brooktrails-township-community-services-district-mendocino,Brooktrails Township Community Services District,district,Mendocino,25,1106699,433743,,6,false
district-brophy-water-district-yuba,Brophy Water District,district,Yuba,5,5300,0,,5,false
district-browns-valley-cemetery-district-yuba,Browns Valley Cemetery District,district,Yuba,3,0,0,,0,false
district-browns-valley-irrigation-district-yuba,Browns Valley Irrigation District,district,Yuba,21,1127087,355636,,5,false
district-brownsville-cemetery-district-yuba,Brownsville Cemetery District,district,Yuba,5,24350,0,,0,false
district-buckeye-fire-protection-district-shasta,Buckeye Fire Protection District,district,Shasta,5,850,0,,0,false
district-buckingham-park-water-district-lake,Buckingham Park Water District,district,Lake,10,278530,74858,,5,false
district-buena-park-library-district-orange,Buena Park Library District,district,Orange,46,1702421,274019,,5,false
district-buena-vista-water-storage-district-kern,Buena Vista Water Storage District,district,Kern,28,2026431,388079,,5,false
district-burbank-glendale-pasadena-airport-authority-los-angeles,Burbank - Glendale - Pasadena Airport Authority,district,Los Angeles,53,5354506,1174899,,0,false
district-burbank-sanitary-district-santa-clara-santa-clara,Burbank Sanitary District (Santa Clara),district,Santa Clara,5,26769,0,,5,false
district-burbank-paradise-fire-protection-district-stanislaus,Burbank-Paradise Fire Protection District,district,Stanislaus,26,106732,0,,5,false
district-burney-basin-mosquito-abatement-district-shasta,Burney Basin Mosquito Abatement District,district,Shasta,7,74942,5298,,0,false
district-burney-cemetery-district-shasta,Burney Cemetery District,district,Shasta,8,81120,0,,0,false
district-burney-fire-protection-district-shasta,Burney Fire Protection District,district,Shasta,18,247570,0,,5,false
district-burney-water-district-shasta,Burney Water District,district,Shasta,21,498763,154854,,5,false
district-butler-keys-community-service-district-lake,Butler-Keys Community Service District,district,Lake,5,0,0,,5,false
district-butte-choice-energy-authority-butte,Butte Choice Energy Authority,district,Butte,6,0,0,,0,false
district-butte-city-community-services-district-glenn,Butte City Community Services District,district,Glenn,5,0,0,,5,false
district-butte-county-air-quality-management-district-butte,Butte County Air Quality Management District,district,Butte,21,977321,295444,,0,false
district-butte-county-association-of-governments-butte,Butte County Association of Governments,district,Butte,19,991457,350760,,0,false
district-butte-county-mosquito-and-vector-control-district-butte,Butte County Mosquito and Vector Control District,district,Butte,44,1607224,657486,,0,false
district-butte-county-resource-conservation-district-butte,Butte County Resource Conservation District,district,Butte,6,0,0,,0,false
district-butte-creek-drainage-district-butte-butte,Butte Creek Drainage District (Butte),district,Butte,3,250,0,,3,false
district-butte-regional-transit-butte,Butte Regional Transit,district,Butte,13,219400,102396,,0,false
district-butte-schools-self-funded-programs-butte,Butte Schools Self-Funded Programs,district,Butte,36,1669649,240151,,0,false
district-butte-valley-fire-protection-siskiyou,Butte Valley Fire Protection,district,Siskiyou,3,0,0,,3,false
district-butte-valley-irrigation-district-siskiyou,Butte Valley Irrigation District,district,Siskiyou,5,65712,7200,,3,false
district-butte-water-district-butte,Butte Water District,district,Butte,13,830195,233787,,5,false
district-buttonwillow-county-water-district-kern,Buttonwillow County Water District,district,Kern,5,4425,0,,5,false
district-buttonwillow-recreation-and-park-district-kern,Buttonwillow Recreation and Park District,district,Kern,12,116028,55693,,5,false
district-buzztail-community-services-district-butte,Buzztail Community Services District,district,Butte,5,0,0,,5,false
district-byron-brentwood-knightsen-cemetery-district-contra-costa,Byron - Brentwood - Knightsen Cemetery District,district,Contra Costa,12,431088,79164,,0,true
district-byron-bethany-joint-powers-authority-contra-costa,Byron Bethany Joint Powers Authority,district,Contra Costa,7,0,0,,0,false
district-byron-bethany-public-financing-authority-contra-costa,Byron Bethany Public Financing Authority,district,Contra Costa,7,0,0,,0,false
district-byron-sanitary-district-contra-costa-contra-costa,Byron Sanitary District (Contra Costa),district,Contra Costa,5,2100,0,,5,false
district-byron-bethany-irrigation-district-contra-costa,Byron-Bethany Irrigation District,district,Contra Costa,25,1831735,526549,,7,false
district-c-road-community-services-district-plumas,C Road Community Services District,district,Plumas,5,0,0,,5,false
district-ccwd-public-financing-authority-calaveras,CCWD Public Financing Authority,district,Calaveras,5,0,0,,0,false
district-cmfa-special-finance-agency-san-diego,CMFA Special Finance Agency,district,San Diego,8,0,0,,0,false
district-cmfa-special-finance-agency-i-san-diego,CMFA Special Finance Agency I,district,San Diego,8,0,0,,0,false
district-cmfa-special-finance-agency-vii-san-diego,CMFA Special Finance Agency VII,district,San Diego,8,0,0,,0,false
district-cmfa-special-finance-agency-viii-san-diego,CMFA Special Finance Agency VIII,district,San Diego,8,0,0,,0,false
district-cmfa-special-finance-agency-xii-san-diego,CMFA Special Finance Agency XII,district,San Diego,8,0,0,,8,false
district-csuci-financing-authority-los-angeles,CSUCI Financing Authority,district,Los Angeles,7,0,0,,0,false
district-cabazon-county-water-district-riverside,Cabazon County Water District,district,Riverside,12,519162,191826,,5,false
district-cachagua-fire-protection-district-monterey,Cachagua Fire Protection District,district,Monterey,23,9025,0,,4,false
district-cacheville-community-services-district-yolo,Cacheville Community Services District,district,Yolo,11,77530,0,,5,false
district-cachuma-conservation-release-board-santa-barbara,Cachuma Conservation Release Board,district,Santa Barbara,4,186000,0,,0,false
district-cachuma-operation-and-maintenance-board-santa-barbara,Cachuma Operation and Maintenance Board,district,Santa Barbara,22,1800320,512850,,0,false
district-cachuma-resource-conservation-district-santa-barbara,Cachuma Resource Conservation District,district,Santa Barbara,10,217598,20502,,0,false
district-cal-state-l-a-metrolink-station-authority-los-angeles,Cal State L.A. Metrolink Station Authority,district,Los Angeles,5,0,0,,0,false
district-calsaws-consortium-san-bernardino,CalSAWS Consortium,district,San Bernardino,12,0,0,,0,false
district-caltrust-sacramento,CalTRUST,district,Sacramento,11,619304,322435,,0,false
district-calaveras-consolidated-fire-protection-district-calaveras,Calaveras Consolidated Fire Protection District,district,Calaveras,53,1427299,94281,,9,false
district-calaveras-council-of-governments-calaveras,Calaveras Council of Governments,district,Calaveras,12,323788,76028,,0,false
district-calaveras-county-fire-services-joint-powers-authority-calaveras,Calaveras County Fire Services Joint Powers Authority,district,Calaveras,20,0,0,,0,false
district-calaveras-county-resource-conservation-district-calaveras,Calaveras County Resource Conservation District,district,Calaveras,14,171734,0,,6,false
district-calaveras-county-school-financing-authority-calaveras,Calaveras County School Financing Authority,district,Calaveras,6,0,0,,0,false
district-calaveras-county-water-district-calaveras,Calaveras County Water District,district,Calaveras,93,7946600,3298278,,5,false
district-calaveras-public-power-agency-calaveras,Calaveras Public Power Agency,district,Calaveras,6,0,0,,0,false
district-calaveras-public-utility-district-calaveras,Calaveras Public Utility District,district,Calaveras,17,1009998,554656,,5,false
district-calaveras-transit-agency-calaveras,Calaveras Transit Agency,district,Calaveras,7,1100,0,,0,false
district-california-affiliated-risk-management-authorities-carma-sacramento,California Affiliated Risk Management Authorities (CARMA),district,Sacramento,6,0,0,,0,false
district-california-affordable-housing-agency-butte,California Affordable Housing Agency,district,Butte,5,0,0,,0,false
district-california-asset-management-trust-san-francisco,California Asset Management Trust,district,San Francisco,8,0,0,,0,false
district-california-association-for-park-and-recreation-indemnity-sacramento,California Association for Park and Recreation Indemnity,district,Sacramento,11,449997,105572,,0,false
district-california-association-of-health-and-education-linked-professions-cahelp-jpa-san-bernardino,California Association of Health and Education Linked Professions (CAHELP JPA),district,San Bernardino,21,0,0,,0,false
district-california-association-of-mutual-water-companies-joint-powers-risk-and-insurance-management-authority-los-angeles,California Association of Mutual Water Companies Joint Powers Risk and Insurance Management Authority,district,Los Angeles,9,0,0,,0,false
district-california-authority-of-racing-fairs-sonoma,California Authority of Racing Fairs,district,Sonoma,13,556453,133759,,0,false
district-california-cannabis-authority-san-luis-obispo,California Cannabis Authority,district,San Luis Obispo,4,0,0,,0,false
district-california-charter-schools-employee-welfare-benefit-trust-joint-powers-authority-sacramento,California Charter Schools Employee Welfare Benefit Trust Joint Powers Authority,district,Sacramento,9,381200,65638,,0,false
district-california-charter-schools-joint-powers-authority-placer,California Charter Schools Joint Powers Authority,district,Placer,22,1917931,285714,,0,false
district-california-cities-gaming-authority-los-angeles,California Cities Gaming Authority,district,Los Angeles,3,1800,0,,0,false
district-california-cities-for-self-reliance-joint-powers-authority-los-angeles,California Cities for Self Reliance Joint Powers Authority,district,Los Angeles,7,0,0,,0,false
district-california-community-choice-financing-authority-marin,California Community Choice Financing Authority,district,Marin,5,0,0,,0,false
district-california-community-college-financing-authority-sacramento,California Community College Financing Authority,district,Sacramento,4,0,0,,0,false
district-california-community-power-monterey,California Community Power,district,Monterey,13,809520,66746,,0,false
district-california-cooperative-liquid-assets-securities-system-sacramento,California Cooperative Liquid Assets Securities System,district,Sacramento,5,0,0,,0,false
district-california-county-assessors-information-technology-authority-alameda,California County Assessors' Information Technology Authority,district,Alameda,9,0,0,,0,false
district-california-educational-computer-consortium-joint-powers-authority-san-bernardino,California Educational Computer Consortium Joint Powers Authority,district,San Bernardino,4,0,0,,0,false
district-california-electronic-recording-transaction-network-authority-certna-kern,California Electronic Recording Transaction Network Authority (CERTNA),district,Kern,5,355767,38896,,3,false
district-california-enterprise-development-authority-ceda-sacramento,California Enterprise Development Authority - CEDA,district,Sacramento,8,0,0,,0,false
district-california-fair-service-authority-sacramento,California Fair Service Authority,district,Sacramento,31,2112765,607454,,6,false
district-california-fairs-financing-authority-solano,California Fairs Financing Authority,district,Solano,24,1932222,458705,,0,false
district-california-housing-workers-compensation-authority-fresno,California Housing Workers Compensation Authority,district,Fresno,6,0,0,,0,false
district-california-identification-system-in-fresno-county-fresno,California Identification System In Fresno County,district,Fresno,8,0,0,,0,false
district-california-insurance-pool-authority-orange,California Insurance Pool Authority,district,Orange,14,0,0,,0,false
district-california-intergovernmental-risk-authority-sacramento,California Intergovernmental Risk Authority,district,Sacramento,61,1018110,344000,,0,false
district-california-joint-powers-insurance-authority-los-angeles,California Joint Powers Insurance Authority,district,Los Angeles,48,5716639,1673075,,0,false
district-california-joint-powers-risk-management-authority-alameda,California Joint Powers Risk Management Authority,district,Alameda,27,905659,216131,,0,false
district-california-municipal-finance-authority-san-diego,California Municipal Finance Authority,district,San Diego,8,0,0,,0,false
district-california-municipal-public-financing-authority-santa-clara,California Municipal Public Financing Authority,district,Santa Clara,5,0,0,,0,false
district-california-pines-community-services-district-modoc,California Pines Community Services District,district,Modoc,22,375939,33229,,9,false
district-california-qualified-school-bond-joint-powers-authority-san-diego,California Qualified School Bond Joint Powers Authority,district,San Diego,3,0,0,,0,false
district-california-residential-mitigation-program-crmp-sacramento,California Residential Mitigation Program (CRMP),district,Sacramento,4,0,0,,0,false
district-california-risk-management-authority-crma-fresno,California Risk Management Authority (CRMA),district,Fresno,11,0,0,,0,false
district-california-rural-water-risk-management-authority-sacramento,California Rural Water Risk Management Authority,district,Sacramento,3,0,0,,0,false
district-california-sanitation-districts-risk-management-authority-monterey,California Sanitation Districts Risk Management Authority,district,Monterey,59,0,0,,0,false
district-california-school-cash-reserve-program-authority-ventura,California School Cash Reserve Program Authority,district,Ventura,3,0,0,,0,false
district-california-school-facilities-financing-authority-los-angeles,California School Facilities Financing Authority,district,Los Angeles,4,0,0,,0,false
district-california-schools-employee-benefit-association-san-bernardino,California Schools Employee Benefit Association,district,San Bernardino,10,0,0,,0,false
district-california-schools-employee-benefits-organization-ventura,California Schools Employee Benefits Organization,district,Ventura,19,0,0,,0,false
district-california-schools-risk-management-san-bernardino,California Schools Risk Management,district,San Bernardino,9,0,0,,0,false
district-california-state-university-risk-management-authority-los-angeles,California State University Risk Management Authority,district,Los Angeles,40,0,0,,0,false
district-california-statewide-communities-development-authority-contra-costa,California Statewide Communities Development Authority,district,Contra Costa,9,0,0,,0,false
district-california-statewide-delinquent-tax-financing-authority-los-angeles,California Statewide Delinquent Tax Financing Authority,district,Los Angeles,5,0,0,,0,false
district-california-tahoe-emergency-services-operation-authority-el-dorado,California Tahoe Emergency Services Operation Authority,district,El Dorado,42,1865631,155832,,5,false
district-california-transit-systems-joint-powers-authority-sacramento,California Transit Systems Joint Powers Authority,district,Sacramento,35,0,0,,0,false
district-california-valley-community-services-district-san-luis-obispo,California Valley Community Services District,district,San Luis Obispo,14,215886,3023,,0,false
district-california-vanpool-authority-calvans-kings,California Vanpool Authority (CalVans),district,Kings,37,2064562,477743,,0,false
district-california-wildfire-mitigation-program-authority-sacramento,California Wildfire Mitigation Program Authority,district,Sacramento,5,0,0,,0,false
district-callahan-water-district-siskiyou,Callahan Water District,district,Siskiyou,7,12890,0,,5,false
district-callayomi-county-water-district-lake,Callayomi County Water District,district,Lake,11,213409,27322,,6,false
district-calleguas-municipal-water-district-ventura,Calleguas Municipal Water District,district,Ventura,91,12265589,3925375,,5,false
district-calleguas-las-virgenes-public-financing-authority-ventura,Calleguas-Las Virgenes Public Financing Authority,district,Ventura,10,0,0,,0,false
district-calpella-county-water-district-mendocino,Calpella County Water District,district,Mendocino,3,1440,0,,3,false
district-calwa-recreation-and-park-district-fresno,Calwa Recreation and Park District,district,Fresno,16,215423,0,,5,false
district-camarillo-health-care-district-ventura,Camarillo Health Care District,district,Ventura,44,1710265,354211,,5,false
district-cambria-cemetery-district-san-luis-obispo,Cambria Cemetery District,district,San Luis Obispo,6,138445,40116,,0,false
district-cambria-community-healthcare-district-san-luis-obispo,Cambria Community Healthcare District,district,San Luis Obispo,36,1208267,260350,,5,false
district-cambria-community-services-district-san-luis-obispo,Cambria Community Services District,district,San Luis Obispo,51,3696626,892582,,0,false
district-cameron-estates-community-services-district-el-dorado,Cameron Estates Community Services District,district,El Dorado,6,41440,0,,5,false
district-cameron-park-airport-district-el-dorado,Cameron Park Airport District,district,El Dorado,5,66560,0,,0,false
district-cameron-park-community-services-district-el-dorado,Cameron Park Community Services District,district,El Dorado,78,1221763,267203,,5,false
district-camp-13-drainage-district-fresno,Camp 13 Drainage District,district,Fresno,8,0,0,,8,false
district-camp-far-west-irrigation-district-yuba,Camp Far West Irrigation District,district,Yuba,3,0,0,,3,false
district-camp-meeker-recreation-and-park-district-sonoma,Camp Meeker Recreation and Park District,district,Sonoma,5,0,0,,5,false
district-camptonville-cemetery-district-yuba,Camptonville Cemetery District,district,Yuba,5,0,0,,0,false
district-camptonville-community-services-district-yuba,Camptonville Community Services District,district,Yuba,12,46701,0,,0,false
district-camrosa-water-district-ventura,Camrosa Water District,district,Ventura,36,3469573,1140989,,5,false
district-camrosa-water-district-financing-authority-ventura,Camrosa Water District Financing Authority,district,Ventura,5,0,0,,0,false
district-canby-community-services-district-modoc,Canby Community Services District,district,Modoc,5,0,0,,5,false
district-canby-fire-protection-district-modoc,Canby Fire Protection District,district,Modoc,3,0,0,,3,false
district-canebrake-county-water-district-san-diego,Canebrake County Water District,district,San Diego,7,15680,0,,0,false
district-capay-cemetery-district-yolo,Capay Cemetery District,district,Yolo,4,8759,0,,0,false
district-capay-fire-protection-district-tehama,Capay Fire Protection District,district,Tehama,5,0,0,,5,false
district-capay-valley-fire-protection-district-yolo,Capay Valley Fire Protection District,district,Yolo,9,193289,0,,0,false
district-capistrano-bay-community-services-district-orange,Capistrano Bay Community Services District,district,Orange,8,168703,27195,,5,false
district-capital-south-east-connector-authority-sacramento,Capital South East Connector Authority,district,Sacramento,5,0,0,,0,false
district-capitol-area-development-authority-sacramento,Capitol Area Development Authority,district,Sacramento,52,2965510,1078392,,0,true
district-capitol-corridor-joint-powers-authority-alameda,Capitol Corridor Joint Powers Authority,district,Alameda,16,0,0,,0,false
district-carlotta-community-services-district-humboldt,Carlotta Community Services District,district,Humboldt,5,0,0,,5,false
district-carlsbad-unified-school-district-educational-facilities-corporation-san-diego,Carlsbad Unified School District Educational Facilities Corporation,district,San Diego,4,0,0,,0,false
district-carmel-area-wastewater-agency-monterey-monterey,Carmel Area Wastewater Agency (Monterey),district,Monterey,50,3774568,797177,,5,false
district-carmel-highlands-fire-protection-district-monterey,Carmel Highlands Fire Protection District,district,Monterey,5,0,0,,0,false
district-carmel-valley-recreation-and-park-district-monterey,Carmel Valley Recreation and Park District,district,Monterey,5,0,0,,5,false
district-carmichael-water-district-sacramento,Carmichael Water District,district,Sacramento,33,3058121,910178,,5,false
district-carmichael-water-district-financing-corporation-sacramento,Carmichael Water District Financing Corporation,district,Sacramento,5,0,0,,0,false
district-carpinteria-summerland-fire-protection-district-santa-barbara,Carpinteria - Summerland Fire Protection District,district,Santa Barbara,42,7581497,3175387,,6,false
district-carpinteria-cemetery-district-santa-barbara,Carpinteria Cemetery District,district,Santa Barbara,7,202279,97784,,0,false
district-carpinteria-groundwater-sustainability-agency-santa-barbara,Carpinteria Groundwater Sustainability Agency,district,Santa Barbara,6,12890,0,,0,false
district-carpinteria-sanitary-district-santa-barbara-santa-barbara,Carpinteria Sanitary District (Santa Barbara),district,Santa Barbara,22,1710559,469881,,0,false
district-carpinteria-valley-water-district-santa-barbara,Carpinteria Valley Water District,district,Santa Barbara,27,2595071,682106,,5,false
district-carson-reclamation-authority-los-angeles,Carson Reclamation Authority,district,Los Angeles,7,0,0,,0,false
district-carters-cemetery-district-tuolumne,Carters Cemetery District,district,Tuolumne,9,26441,0,,0,false
district-caruthers-community-services-district-fresno,Caruthers Community Services District,district,Fresno,10,299629,51200,,5,false
district-casitas-municipal-water-district-ventura,Casitas Municipal Water District,district,Ventura,193,10559020,2287679,,5,false
district-casmalia-community-services-district-santa-barbara,Casmalia Community Services District,district,Santa Barbara,5,9300,0,,3,false
district-caspar-south-water-district-mendocino,Caspar South Water District,district,Mendocino,3,0,0,,0,false
district-castella-fire-protection-district-shasta,Castella Fire Protection District,district,Shasta,8,11820,0,,5,false
district-castle-rock-county-water-district-contra-costa,Castle Rock County Water District,district,Contra Costa,5,0,0,,5,false
district-castro-valley-sanitary-district-alameda-alameda,Castro Valley Sanitary District (Alameda),district,Alameda,28,2373085,385374,,5,false
district-castroville-cemetery-district-monterey,Castroville Cemetery District,district,Monterey,9,108159,20896,,0,false
district-castroville-community-services-district-monterey,Castroville Community Services District,district,Monterey,12,646665,295089,,5,false
district-cawelo-groundwater-sustainability-agency-kern,Cawelo Groundwater Sustainability Agency,district,Kern,5,10890,0,,0,false
district-cawelo-water-district-kern,Cawelo Water District,district,Kern,24,1575648,477280,,5,false
district-cayucos-sanitary-district-san-luis-obispo-san-luis-obispo,Cayucos Sanitary District (San Luis Obispo),district,San Luis Obispo,14,977848,266872,,5,false
district-cayucos-morro-bay-cemetery-district-san-luis-obispo,Cayucos-Morro Bay Cemetery District,district,San Luis Obispo,7,366930,149724,,0,false
district-cazadero-community-services-district-sonoma,Cazadero Community Services District,district,Sonoma,29,162640,0,,5,false
district-cedarville-cemetery-district-modoc,Cedarville Cemetery District,district,Modoc,4,23993,0,,3,false
district-cedarville-county-water-district-modoc,Cedarville County Water District,district,Modoc,5,0,0,,0,false
district-cedarville-fire-protection-district-modoc,Cedarville Fire Protection District,district,Modoc,4,0,0,,4,false
district-cemetery-district-no-1-kern,Cemetery District No. 1,district,Kern,12,467197,202474,,3,false
district-cemetery-district-no-1-placer-placer,Cemetery District No. 1 (Placer),district,Placer,13,533630,286214,,0,false
district-cemetery-district-no-2-sierra,Cemetery District No. 2,district,Sierra,3,0,0,,0,false
district-cemetery-district-no-3-sierra,Cemetery District No. 3,district,Sierra,3,0,0,,0,false
district-cemetery-district-no-5-sierra,Cemetery District No. 5,district,Sierra,3,0,0,,0,false
district-cemetery-district-of-the-redwoods-mendocino,Cemetery District of the Redwoods,district,Mendocino,4,43890,0,,0,false
district-center-for-advanced-research-and-technology-fresno,Center for Advanced Research and Technology,district,Fresno,7,0,0,,0,false
district-centerville-community-services-district-shasta,Centerville Community Services District,district,Shasta,11,465031,11240,,5,false
district-centinella-water-district-merced,Centinella Water District,district,Merced,3,0,0,,3,false
district-central-basin-municipal-water-district-los-angeles,Central Basin Municipal Water District,district,Los Angeles,18,1539089,601803,,0,false
district-central-calaveras-fire-and-rescue-protection-district-calaveras,Central Calaveras Fire and Rescue Protection District,district,Calaveras,41,821079,0,,0,false
district-central-california-irrigation-district-merced,Central California Irrigation District,district,Merced,88,5547503,1444274,,5,true
district-central-california-schools-authority-ccsa-fresno,Central California Schools Authority (CCSA),district,Fresno,3,0,0,,0,false
district-central-california-schools-financing-authority-san-luis-obispo,Central California Schools Financing Authority,district,San Luis Obispo,6,0,0,,0,false
district-central-california-vector-control-joint-powers-agency-madera,Central California Vector Control Joint Powers Agency,district,Madera,5,0,0,,0,false
district-central-coast-blue-regional-recycled-water-authority-san-luis-obispo,Central Coast Blue Regional Recycled Water Authority,district,San Luis Obispo,3,0,0,,0,false
